PLAYER_NAME,PTS,AST,REB,STL,BLK,TOV,FG3A,FTA,MIN,ARCHETYPE
De'Andre Hunter,15.555555555555555,1.5555555555555556,3.8703703703703702,0.6666666666666666,0.2777777777777778,1.5,5.351851851851852,3.4444444444444446,29.537037037037038,1
De'Anthony Melton,11.342857142857143,2.8,3.7714285714285714,1.5714285714285714,0.42857142857142855,1.0,5.771428571428571,2.1142857142857143,26.685714285714287,1
DeAndre Jordan,3.4545454545454546,0.5757575757575758,4.151515151515151,0.12121212121212122,0.45454545454545453,0.5757575757575758,0.0,1.121212121212121,10.272727272727273,3
DeMar DeRozan,24.0,5.421052631578948,4.328947368421052,1.105263157894737,0.5394736842105263,1.736842105263158,2.8684210526315788,7.7368421052631575,38.01315789473684,2
Dean Wade,5.431372549019608,0.7647058823529411,4.0588235294117645,0.7450980392156863,0.47058823529411764,0.35294117647058826,3.6862745098039214,0.5098039215686274,20.254901960784313,1
Deandre Ayton,17.21153846153846,1.6538461538461537,11.01923076923077,0.9807692307692307,0.7692307692307693,1.8076923076923077,0.19230769230769232,1.5,32.86538461538461,0
Dejounte Murray,22.786666666666665,6.466666666666667,5.413333333333333,1.44,0.29333333333333333,2.6133333333333333,7.24,3.3466666666666667,35.78666666666667,2
Delon Wright,4.5227272727272725,2.3636363636363638,1.7272727272727273,1.1136363636363635,0.22727272727272727,0.29545454545454547,1.5,0.9090909090909091,15.545454545454545,3
Deni Avdija,14.88888888888889,3.861111111111111,7.222222222222222,0.7777777777777778,0.5,2.1805555555555554,3.1805555555555554,3.736111111111111,30.40277777777778,2
Dennis Schröder,13.96103896103896,5.987012987012987,3.0259740259740258,0.7922077922077922,0.22077922077922077,1.922077922077922,4.532467532467533,2.675324675324675,30.98701298701299,2
Dereck Lively II,8.76923076923077,1.1346153846153846,6.923076923076923,0.6730769230769231,1.4230769230769231,0.9230769230769231,0.038461538461538464,1.4615384615384615,23.692307692307693,0
Derrick Jones Jr.,8.63013698630137,1.0136986301369864,3.3424657534246576,0.726027397260274,0.6986301369863014,0.8493150684931506,3.136986301369863,1.7534246575342465,23.65753424657534,1
Derrick White,15.17142857142857,5.2,4.242857142857143,0.9857142857142858,1.1714285714285715,1.5285714285714285,6.9,2.0285714285714285,32.68571428571428,2
Desmond Bane,23.71794871794872,5.564102564102564,4.487179487179487,0.9743589743589743,0.5128205128205128,2.641025641025641,8.461538461538462,3.7948717948717947,34.38461538461539,2
Devin Booker,26.876923076923077,6.861538461538461,4.446153846153846,0.9230769230769231,0.4307692307692308,2.5384615384615383,6.092307692307692,6.815384615384615,36.10769230769231,2
Devin Vassell,19.4,4.184615384615385,3.876923076923077,1.0769230769230769,0.35384615384615387,1.5846153846153845,6.615384615384615,2.830769230769231,32.96923076923077,2
Dillon Brooks,12.63768115942029,1.6376811594202898,3.420289855072464,0.8985507246376812,0.14492753623188406,1.2173913043478262,5.173913043478261,2.072463768115942,30.840579710144926,1
Domantas Sabonis,19.49367088607595,8.30379746835443,13.60759493670886,0.8734177215189873,0.5822784810126582,3.3544303797468356,1.0379746835443038,5.050632911392405,35.79746835443038,2
Dominick Barlow,4.6,1.2,3.7333333333333334,0.4,0.4666666666666667,0.3,0.3,1.2666666666666666,13.433333333333334,3
