PLAYER_NAME,PTS,AST,REB,STL,BLK,TOV,FG3A,FTA,MIN
Isaiah Hartenstein,6.8179419525065965,1.9973614775725594,6.3931398416886545,0.7176781002638523,0.9261213720316622,1.087071240105541,0.2796833773087071,1.5567282321899736,19.46174142480211
Kyle Kuzma,17.024029574861366,2.6728280961182995,6.308687615526802,0.5619223659889094,0.5194085027726433,2.1700554528650646,5.7800369685767095,2.9722735674676524,31.155268022181147
Derrick White,12.95344129554656,4.180161943319838,3.659919028340081,0.819838056680162,0.902834008097166,1.4048582995951417,5.182186234817814,2.445344129554656,28.5
Josh Hart,10.326415094339623,3.1849056603773587,6.992452830188679,1.0471698113207548,0.330188679245283,1.3886792452830188,3.5943396226415096,2.047169811320755,30.430188679245283
Dillon Brooks,14.166666666666666,1.9959349593495934,3.2398373983739837,0.9126016260162602,0.25203252032520324,1.4308943089430894,5.109756097560975,2.2804878048780486,29.475609756097562
Thomas Bryant,8.882882882882884,0.978978978978979,5.111111111111111,0.34534534534534533,0.7027027027027027,0.7027027027027027,1.4774774774774775,1.6906906906906907,17.75075075075075
Monté Morris,9.476190476190476,3.5952380952380953,2.354761904761905,0.7214285714285714,0.1738095238095238,0.7285714285714285,2.876190476190476,1.111904761904762,23.357142857142858
Luke Kornet,5.220963172804533,1.0821529745042493,3.4702549575070822,0.34277620396600567,0.8413597733711048,0.38243626062322944,1.3059490084985836,0.8130311614730878,14.923512747875353
Chris Boucher,8.874692874692874,0.49385749385749383,5.12039312039312,0.48402948402948404,0.9434889434889435,0.542997542997543,2.692874692874693,2.1228501228501226,17.72972972972973
Daniel Theis,7.065693430656935,1.2506082725060828,4.7177615571776155,0.46228710462287104,0.8248175182481752,0.7907542579075426,1.4574209245742094,1.3430656934306568,18.81265206812652
